Verification ID,Location,Safeguard,Criticality,Passed,Verified By,Date,Failed
V0000,Rig B,Emergency Shutdown,Low,False,aud_0,2023-12-07,True
V0001,Rig A,Fire Detection,Medium,True,aud_1,2023-02-03,False
V0002,Rig B,Fire Detection,High,True,aud_2,2023-10-22,False
V0003,Terminal X,Relief Valve,Medium,False,aud_3,2023-08-07,True
V0004,Terminal X,Blowout Preventer,Medium,False,aud_4,2022-04-09,True
V0005,Rig B,Blowout Preventer,High,False,aud_5,2022-09-14,True
V0006,Rig A,Fire Detection,Low,True,aud_6,2022-07-11,False
V0007,Platform C,Emergency Shutdown,Medium,True,aud_7,2023-11-28,False
V0008,Terminal X,Emergency Shutdown,Medium,True,aud_8,2023-02-21,False
V0009,Terminal X,Emergency Shutdown,High,False,aud_9,2023-10-02,True
V0010,Platform C,Blowout Preventer,High,True,aud_10,2023-08-07,False
V0011,Rig B,Relief Valve,High,False,aud_11,2023-12-20,True
V0012,Rig A,Fire Detection,High,False,aud_12,2022-09-29,True
V0013,Rig B,Gas Detection,High,True,aud_13,2023-01-10,False
V0014,Plant Y,Relief Valve,Critical,False,aud_14,2022-10-16,True
V0015,Terminal X,Gas Detection,High,True,aud_15,2023-10-22,False
V0016,Plant Y,Relief Valve,Low,False,aud_16,2022-06-08,True
V0017,Terminal X,Emergency Shutdown,Medium,False,aud_17,2022-08-18,True
V0018,Terminal X,Blowout Preventer,Low,True,aud_18,2023-12-17,False
V0019,Plant Y,Gas Detection,Low,False,aud_19,2022-09-24,True
V0020,Plant Y,Relief Valve,Critical,False,aud_20,2023-05-23,True
V0021,Rig B,Blowout Preventer,High,False,aud_21,2022-06-08,True
V0022,Plant Y,Gas Detection,Medium,False,aud_22,2024-02-17,True
V0023,Rig B,Fire Detection,Low,False,aud_23,2022-06-10,True
V0024,Rig B,Relief Valve,High,False,aud_24,2022-10-07,True
V0025,Rig B,Fire Detection,High,False,aud_25,2022-01-21,True
V0026,Terminal X,Emergency Shutdown,Critical,False,aud_26,2023-06-12,True
V0027,Terminal X,Fire Detection,Critical,True,aud_27,2022-06-14,False
V0028,Plant Y,Fire Detection,Critical,True,aud_28,2022-01-15,False
V0029,Terminal X,Relief Valve,Medium,False,aud_29,2022-03-12,True
V0030,Plant Y,Emergency Shutdown,Low,False,aud_30,2023-12-27,True
V0031,Terminal X,Fire Detection,Critical,True,aud_31,2022-04-10,False
V0032,Rig A,Blowout Preventer,Critical,False,aud_32,2023-07-17,True
V0033,Rig A,Gas Detection,Critical,True,aud_33,2022-03-14,False
V0034,Plant Y,Fire Detection,Low,True,aud_34,2023-11-29,False
V0035,Terminal X,Emergency Shutdown,Low,True,aud_35,2023-08-22,False
V0036,Terminal X,Fire Detection,Critical,False,aud_36,2023-08-10,True
V0037,Rig B,Gas Detection,Critical,False,aud_37,2022-06-20,True
V0038,Platform C,Emergency Shutdown,High,False,aud_38,2023-06-03,True
V0039,Plant Y,Relief Valve,Critical,True,aud_39,2022-11-03,False
V0040,Platform C,Emergency Shutdown,Medium,True,aud_40,2023-12-21,False
